person_id;person_trip_id;leg_index;access_stop_id;egress_stop_id;transit_line_id;transit_route_id;access_area_id;egress_area_id;transit_mode
185736;0;1;20069.link:pt_20069;20064.link:pt_20064;6;67243;10050.0;10045.0;rail
158022;0;1;71.link:19494;16.link:24295;28;82;nan;nan;bus
184115;0;1;20066.link:pt_20066;20063.link:pt_20063;6;67243;10047.0;10044.0;rail
203905;0;1;20080.link:pt_20080;20001.link:pt_20001;6;67242;10060.0;10001.0;rail
284982;0;1;20062.link:pt_20062;20001.link:pt_20001;6;67242;10043.0;10001.0;rail
312974;0;1;20066.link:pt_20066;20001.link:pt_20001;6;67286;10047.0;10001.0;rail
319306;0;1;20062.link:pt_20062;20001.link:pt_20001;6;67286;10043.0;10001.0;rail
208620;0;1;20080.link:pt_20080;20001.link:pt_20001;6;67286;10060.0;10001.0;rail
318179;0;1;20012.link:pt_20012;20006.link:pt_20006;6;67200;10006.0;10003.0;rail
201971;0;1;20166.link:pt_20166;20001.link:pt_20001;6;67261;10128.0;10001.0;rail
19162;0;1;STP-RIN00208.link:36362;STP-RTN00118.link:9499;M008;L008-A-L008S3;STA-STP-RIN00208;STA-STP-RTN00118;bus
39545;0;1;STP-RIN00804.link:50371;STP-RTN00118.link:9499;M008;L008-A-L008S3;STA-STP-RIN00804;STA-STP-RTN00118;bus
68895;0;1;STP-RIN00805.link:62628;STP-RTN00118.link:9499;M008;L008-A-L008S3;STA-STP-RIN00805;STA-STP-RTN00118;bus
318559;0;1;20012.link:pt_20012;20001.link:pt_20001;6;67200;10006.0;10001.0;rail
33875;0;1;20098.link:pt_20098;20164.link:pt_20164;6;67292;10075.0;10010.0;rail
317910;0;1;20088.link:pt_20088;20012.link:pt_20012;6;67272;10067.0;10006.0;rail
49979;0;1;STP-RIN00411.link:18311;STP-RTN00118.link:9499;M007;L007-A-L007S1;STA-STP-RIN00411;STA-STP-RTN00118;bus
318101;0;1;20012.link:pt_20012;20006.link:pt_20006;6;67272;10006.0;10003.0;rail
315916;0;1;57.link:2331;33.link:24139;22;67;nan;nan;bus
25205;0;1;STP-RIN00116.link:58439;STP-RTN00101.link:2332;M001;R-L001S4;STA-STP-RIN00116;STA-STP-RTN00101;bus
318101;0;3;20163.link:pt_20163;20120.link:pt_20120;6;67267;10003.0;10096.0;rail
318179;0;3;20163.link:pt_20163;20104.link:pt_20104;6;67267;10003.0;10081.0;rail
262707;0;1;29.link:10483;62.link:63615;22;68;nan;nan;bus
308975;0;1;20064.link:pt_20064;20071.link:pt_20071;6;67245;10045.0;10052.0;rail
315916;0;3;20002.link:pt_20002;20023.link:pt_20023;6;67297;10001.0;10012.0;rail
49979;0;3;STP-RTN00118.link:5234;STP-RIN00209.link:36385;M008;L008-R-L008S6;STA-STP-RTN00118;STA-STP-RIN00209;bus
246164;1;2;106.link:48780;37.link:51863;11;33;nan;nan;bus
68895;1;4;STP-RTN00118.link:5234;STP-RIN00209.link:36385;M002;L002-R-L002S6;STA-STP-RTN00118;STA-STP-RIN00209;bus
284982;1;4;20001.link:pt_20001;20062.link:pt_20062;6;67257;10001.0;10043.0;rail
319306;1;4;20001.link:pt_20001;20062.link:pt_20062;6;67257;10001.0;10043.0;rail
312974;1;4;20001.link:pt_20001;20066.link:pt_20066;6;67257;10001.0;10047.0;rail
19162;1;4;STP-RTN00118.link:5234;STP-RIN00208.link:36363;M002;L002-R-L002S6;STA-STP-RTN00118;STA-STP-RIN00208;bus
203905;1;4;33.link:24138;1.link:21730;22;73;nan;nan;bus
201971;1;4;20001.link:pt_20001;20166.link:pt_20166;6;67257;10001.0;10128.0;rail
208620;1;4;20001.link:pt_20001;20080.link:pt_20080;6;67257;10001.0;10060.0;rail
257676;1;2;11.link:4495;2.link:43601;37;83;nan;nan;bus
68895;1;5;STP-RIN00209.link:36385;STP-RIN00805.link:62628;M008;L008-R-L008S2;STA-STP-RIN00209;STA-STP-RIN00805;bus
61021;1;2;STP-RIN00722.link:29252;STP-RIN00719.link:48952;M007;L007-R-L007S2;STA-STP-RIN00722;STA-STP-RIN00719;bus
308975;1;4;20071.link:pt_20071;20064.link:pt_20064;6;67300;10052.0;10045.0;rail
39545;1;4;STP-RTN00118.link:5234;STP-RIN00804.link:50370;M008;L008-R-L008S2;STA-STP-RTN00118;STA-STP-RIN00804;bus
233849;1;2;20016.link:pt_20016;20012.link:pt_20012;6;67269;10008.0;10006.0;rail
317910;1;4;20011.link:pt_20011;20089.link:pt_20089;6;67301;10006.0;10067.0;rail
33875;1;4;20020.link:pt_20020;20098.link:pt_20098;6;67224;10010.0;10075.0;rail
67554;1;2;20098.link:pt_20098;20097.link:53098;6;67224;10075.0;10074.0;rail
318101;1;6;20120.link:pt_20120;20163.link:pt_20163;6;67270;10096.0;10003.0;rail
318101;1;8;20005.link:pt_20005;20011.link:pt_20011;6;67268;10003.0;10006.0;rail
318559;1;4;20002.link:pt_20002;20011.link:pt_20011;6;67268;10001.0;10006.0;rail
