pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---other	19	26	14	5	2	4	1	0	0	2	1	1	0
education---outside	0	0	0	0	1	0	0	0	0	0	0	0	0
home---education	32	15	7	6	5	2	1	0	0	1	1	1	2
home---leisure	215	57	37	20	4	10	6	5	7	28	38	4	23
home---other	66	51	49	30	22	14	12	13	9	4	6	3	55
home---outside	5	9	8	1	1	1	1	0	0	2	4	0	12
home---pt interaction	0	0	0	0	0	0	0	0	0	0	0	0	1
home---shop	65	35	21	11	13	5	7	2	1	4	5	2	36
home---work	25	34	38	18	17	22	23	21	18	13	8	10	304
leisure---home	218	68	40	22	10	9	6	5	7	30	38	4	21
leisure---outside	2	3	1	0	0	0	0	0	0	1	2	0	0
leisure---work	25	14	13	7	3	7	3	4	3	3	4	1	42
other---home	48	83	56	26	31	13	7	4	12	6	3	3	37
other---leisure	8	12	7	5	8	2	1	1	1	2	3	1	32
other---other	13	15	14	8	4	7	4	2	3	2	4	2	25
other---outside	3	1	4	2	1	0	1	0	0	0	0	0	0
other---shop	16	6	3	2	5	1	3	3	3	1	0	1	21
other---work	1	1	0	1	2	0	0	0	0	1	0	0	4
outside---education	0	0	0	0	0	1	0	0	0	2	0	0	0
outside---home	7	6	7	2	2	1	0	2	0	3	2	2	6
outside---leisure	2	3	1	0	0	0	0	0	0	1	0	1	0
outside---other	6	2	1	1	0	0	0	0	0	0	0	1	3
outside---outside	108	0	5	2	3	0	0	0	2	6	4	0	6
outside---pt interaction	2	0	0	0	0	0	0	0	0	0	0	0	0
outside---shop	1	1	0	0	0	0	0	0	0	0	0	0	0
outside---work	0	0	2	4	2	0	1	0	0	0	0	1	14
pt interaction---home	0	0	1	0	0	1	0	0	0	0	0	0	1
pt interaction---pt interaction	0	0	0	0	0	0	1	1	0	0	0	0	3
pt interaction---work	0	0	1	1	0	0	0	0	0	0	0	0	0
shop---home	65	20	16	6	9	3	6	1	6	7	6	0	24
shop---leisure	5	4	8	5	2	1	1	0	3	0	0	0	2
shop---outside	2	1	0	0	0	0	0	0	0	0	0	0	0
shop---pt interaction	0	1	0	0	0	0	0	0	0	0	0	0	0
shop---work	7	10	3	3	3	0	1	0	1	1	0	1	34
work---home	19	36	26	24	29	33	28	24	18	10	6	5	249
work---leisure	12	9	6	4	2	2	1	1	1	1	1	0	17
work---other	8	16	8	5	10	5	7	7	3	6	5	4	42
work---outside	0	0	2	6	0	0	1	0	0	0	0	1	15
work---pt interaction	0	0	2	0	0	0	0	0	0	0	0	0	0

average trip duration: 4987.36131037781 seconds = 01:23:07
