pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
education---education	4	2	1	0	0	0	1	0	0	0	0	0	1
education---home	406	164	98	65	63	30	22	9	14	7	6	4	89
education---leisure	15	1	2	3	2	2	0	1	0	0	0	0	9
education---other	40	0	2	4	4	0	0	1	1	0	0	0	6
education---pt interaction	85	55	37	4	6	0	0	0	0	0	0	0	6
education---shop	16	7	1	1	1	1	1	0	0	2	0	0	0
education---work	5	1	0	2	0	2	0	1	0	0	0	1	0
home---education	462	184	82	59	74	36	24	14	10	8	4	3	86
home---home	8	2	0	0	0	0	0	0	0	0	0	0	0
home---leisure	474	168	28	31	56	52	28	17	13	18	12	8	40
home---other	642	277	59	61	43	63	40	27	8	8	11	11	26
home---pt interaction	376	260	144	43	2	1	3	1	2	0	0	3	19
home---shop	532	271	54	58	46	48	25	24	12	7	11	9	17
home---work	1135	585	41	79	115	90	46	28	21	14	9	9	76
leisure---education	6	0	0	1	1	0	0	0	0	0	0	0	0
leisure---home	606	103	35	42	109	65	24	24	9	6	8	2	32
leisure---leisure	93	26	3	6	1	6	2	3	1	0	0	0	2
leisure---other	82	20	3	10	2	5	0	0	0	0	1	1	1
leisure---pt interaction	33	26	21	6	1	2	3	0	1	0	0	0	10
leisure---shop	73	24	5	12	5	3	2	0	0	0	1	1	4
leisure---work	68	20	4	6	12	8	1	0	4	1	0	0	4
other---education	16	2	0	0	1	1	0	0	0	0	0	0	1
other---home	646	193	93	61	82	57	21	18	22	9	5	6	27
other---leisure	89	17	3	6	2	3	3	1	2	0	0	0	2
other---other	154	51	9	10	17	14	8	4	1	0	1	0	3
other---pt interaction	44	31	29	12	0	3	0	2	1	2	0	0	10
other---shop	133	27	9	9	4	8	0	0	1	0	0	1	2
other---work	227	54	2	14	20	13	13	4	7	3	0	0	6
pt interaction---education	80	78	20	15	2	0	0	0	0	0	0	0	20
pt interaction---home	345	227	132	42	0	2	2	1	0	0	0	2	15
pt interaction---leisure	43	33	13	15	1	2	2	3	0	0	0	1	10
pt interaction---other	54	39	31	6	1	1	1	0	1	3	0	1	10
pt interaction---pt interaction	930	391	467	441	318	283	240	187	126	101	74	46	104
pt interaction---shop	69	29	22	13	2	2	0	0	1	0	1	0	6
pt interaction---work	227	128	64	30	1	3	0	1	0	0	2	1	5
shop---education	3	0	0	1	0	0	0	0	0	0	0	0	0
shop---home	800	208	88	69	86	55	24	14	13	9	3	4	23
shop---leisure	77	19	10	4	0	4	1	2	1	1	1	0	1
shop---other	64	16	9	6	2	4	2	2	1	1	0	0	6
shop---pt interaction	53	35	21	11	0	2	0	0	0	0	1	1	6
shop---shop	343	45	14	21	16	15	0	4	1	3	1	0	3
shop---work	56	10	3	1	3	5	0	1	3	0	1	0	4
work---education	4	3	2	0	1	1	0	0	0	0	0	0	0
work---home	709	550	260	83	92	72	44	31	18	21	12	13	101
work---leisure	97	47	17	10	10	1	10	5	2	2	0	1	7
work---other	126	93	51	18	16	19	8	3	5	2	2	4	17
work---pt interaction	220	118	81	37	1	3	0	0	0	0	1	0	5
work---shop	96	63	29	12	9	5	9	3	3	0	1	0	11
work---work	127	38	5	7	8	3	1	1	0	2	1	1	3

average trip duration: 887.9962460294543 seconds = 00:14:47
