Iteration	car_travel	car_wait	car_passenger_travel	car_passenger_wait	pt_travel	pt_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
0	2255.964722222222	0.0	128.41583333333332	0.0	847.5197222222222	0.0	0.0	0.0	2751.261111111111	0.0
1	2165.076666666667	0.0	124.69194444444445	0.0	934.6786111111111	0.0	0.0	0.0	2782.9602777777777	0.0
2	2106.2408333333333	0.0	118.93805555555555	0.0	1015.4266666666666	0.0	0.0	0.0	2847.4344444444446	0.0
3	2034.8958333333333	0.0	112.01972222222223	0.0	1060.8297222222222	0.0	0.0	0.0	2872.0333333333333	0.0
4	1956.8955555555556	0.0	102.49222222222222	0.0	1144.4688888888888	0.0	0.0	0.0	2952.6925	0.0
5	1886.5397222222223	0.0	97.8225	0.0	1199.5072222222223	0.0	0.0	0.0	3021.573888888889	0.0
6	1809.6069444444445	0.0	93.37444444444445	0.0	1265.7147222222222	0.0	0.0	0.0	3087.4183333333335	0.0
7	1762.125	0.0	90.31694444444445	0.0	1309.98	0.0	0.0	0.0	3079.2833333333333	0.0
8	1735.7408333333333	0.0	81.335	0.0	1357.9688888888888	0.0	0.0	0.0	3136.7463888888888	0.0
9	1712.2086111111112	0.0	76.6463888888889	0.0	1413.76	0.0	0.0	0.0	3184.4666666666667	0.0
10	1702.6002777777778	0.0	72.7286111111111	0.0	1468.2083333333333	0.0	0.0	0.0	3205.7608333333333	0.0
11	1678.1075	0.0	70.58472222222223	0.0	1500.0352777777778	0.0	0.0	0.0	3249.0319444444444	0.0
12	1637.6022222222223	0.0	67.19333333333333	0.0	1559.41	0.0	0.0	0.0	3332.5177777777776	0.0
13	1624.4569444444444	0.0	65.42388888888888	0.0	1603.2144444444446	0.0	0.0	0.0	3429.77	0.0
14	1593.6744444444444	0.0	63.266666666666666	0.0	1629.4452777777778	0.0	0.0	0.0	3508.0027777777777	0.0
15	1578.8780555555556	0.0	60.31305555555556	0.0	1674.108611111111	0.0	0.0	0.0	3559.556111111111	0.0
16	1574.6075	0.0	55.113055555555555	0.0	1719.2647222222222	0.0	0.0	0.0	3591.5858333333335	0.0
17	1572.9105555555554	0.0	51.687222222222225	0.0	1754.8172222222222	0.0	0.0	0.0	3621.5441666666666	0.0
18	1570.7944444444445	0.0	49.4425	0.0	1774.2058333333334	0.0	0.0	0.0	3646.0286111111113	0.0
19	1565.6986111111112	0.0	48.734722222222224	0.0	1793.1708333333333	0.0	0.0	0.0	3641.9466666666667	0.0
20	1553.7697222222223	0.0	44.2025	0.0	1832.8475	0.0	0.0	0.0	3655.3625	0.0
21	1545.9905555555556	0.0	43.14805555555556	0.0	1850.528611111111	0.0	0.0	0.0	3654.0558333333333	0.0
22	1532.2527777777777	0.0	42.00194444444445	0.0	1869.7844444444445	0.0	0.0	0.0	3673.1847222222223	0.0
23	1519.5072222222223	0.0	38.83583333333333	0.0	1920.8358333333333	0.0	0.0	0.0	3705.1683333333335	0.0
24	1529.0197222222223	0.0	37.83222222222222	0.0	1923.7888888888888	0.0	0.0	0.0	3690.761111111111	0.0
25	1518.6430555555555	0.0	35.02111111111111	0.0	1952.6897222222221	0.0	0.0	0.0	3710.117222222222	0.0
26	1507.3441666666668	0.0	33.45	0.0	1984.5433333333333	0.0	0.0	0.0	3713.798333333333	0.0
27	1501.515	0.0	32.742222222222225	0.0	1992.6880555555556	0.0	0.0	0.0	3758.453611111111	0.0
28	1512.118611111111	0.0	29.89527777777778	0.0	2010.8255555555556	0.0	0.0	0.0	3757.5555555555557	0.0
29	1511.7241666666666	0.0	27.953611111111112	0.0	2041.1241666666667	0.0	0.0	0.0	3751.4580555555553	0.0
30	1509.16	0.0	27.092777777777776	0.0	2065.21	0.0	0.0	0.0	3765.9972222222223	0.0
