Iteration	car	car_passenger	pt	walk
0	35695.597972664415	5640.508458210167	13035.212634186559	11884.823006487086
1	35339.96990148609	5467.538711386353	14265.33174437795	12021.450186453989
2	35355.35344943443	5216.95806305414	15415.926127953995	12299.78443994391
3	35296.66450122422	4911.91496676884	16057.746134053934	12405.954876274853
4	35081.7504133932	4486.6953211775235	17284.367986626366	12754.231106402409
5	34663.46501794729	4282.806576428599	18055.419292397546	13051.673727699395
6	34333.05186628122	4084.447823856235	19092.419345467068	13335.943964391383
7	33963.03604741043	3947.7251388500913	19724.86715581539	13300.705019781355
8	33857.10180454678	3559.6405854381223	20513.70678192427	13548.832370629098
9	33599.02415525784	3359.1001638490034	21269.074237888843	13754.865214638592
10	33680.936380386185	3176.212944715073	22059.256605437593	13846.639275111966
11	33473.809722578015	3095.1877111592257	22501.108370155995	14033.483239761368
12	33008.77519932347	2935.958339812636	23432.66222325711	14394.082445834767
13	32812.37630546654	2843.852226072675	24031.803386489904	14814.171016623104
14	32473.88596836424	2741.235872288921	24457.610598333566	15152.076889533344
15	32178.978685740312	2602.591136765454	25127.45757930403	15374.705623532704
16	32243.611202974913	2360.7149136004728	25676.51092577225	15512.959438303365
17	32215.440360347427	2225.5605825685598	26240.191219655964	15642.324114611096
18	32204.44985275146	2134.586501819311	26469.06518519979	15748.059994196607
19	32133.249579644933	2103.023664463119	26709.480587585716	15730.322864071059
20	31949.546878875706	1903.5776411063339	27285.647365349523	15788.186137148892
21	31891.29428625562	1856.6057868585863	27498.85395735926	15782.487321983579
22	31680.267306317477	1811.555983128163	27864.00391390161	15865.058981078115
23	31550.987858340173	1678.9293928911975	28647.14307688593	16003.13204371212
24	31585.558355103083	1630.5642041238202	28651.487622824556	15940.872537220685
25	31404.585850379226	1494.1643097800568	29029.401183866492	16024.417883244358
26	31304.035286748487	1423.6427994295577	29461.50760489214	16040.273528018182
27	31235.45376916744	1392.079962073366	29582.180803493793	16233.17988806106
28	31419.619619074056	1282.1174397663715	29852.931709891007	16229.271579075114
29	31547.19313658306	1188.6696824756918	30215.91562622403	16202.855564031124
30	31471.040819917205	1153.9881212763325	30513.063140951643	16265.606289914378
