ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-2.362981055490211	-2.362981055490211	-2.362981055490211	-2.362981055490211
1	-2.192561103123779	-2.4339973714401997	-2.274054698732194	-2.114112026024201
2	-2.19606325970462	-2.32494230964726	-2.1916595506760244	-2.058376791704794
3	-2.1909792837537645	-2.263906461029065	-2.190813237920975	-2.1177200148128885
4	-2.3057208208077546	-2.317282345081996	-2.2443516279644	-2.171420910846815
5	-2.30712365122933	-2.3158079553871027	-2.303713512394901	-2.2916190694026994
6	-2.4229535354855694	-2.435813183461869	-2.3621629888613076	-2.2885127942607486
7	-2.5318809814258305	-2.5453392802683945	-2.4758666078508402	-2.4063939354332913
8	-2.4776083373270077	-2.5982719397609753	-2.503035296765861	-2.4077986537707536
9	-2.4815861760989972	-2.486461609956589	-2.478657256132108	-2.4708529023076253
10	-2.4275960658737517	-2.4931467564152943	-2.4541427954225408	-2.415138834429786
11	-2.4287368027418457	-2.436918195152423	-2.4272840877735775	-2.4176499803947307
12	-2.381454929638834	-2.4445265687854962	-2.4037280348247947	-2.362929500864092
13	-2.4491147126737336	-2.4520697367083564	-2.415020240636674	-2.3779707445649874
14	-2.5126218794928903	-2.519517891633644	-2.479716939688363	-2.439915987743082
15	-2.632163587911544	-2.6950003267546885	-2.572192542006142	-2.449384757257597
16	-2.5830407063710146	-2.7570693373415507	-2.607656352110861	-2.458243366880163
17	-2.6995490422457653	-2.7048199581754195	-2.641059792474493	-2.577299626773567
18	-2.7608918950318904	-2.822104917294775	-2.7301483829274407	-2.6381918485601132
19	-2.81739823407254	-2.822508423009352	-2.7890843426422256	-2.755660262275101
20	-2.874174871839572	-2.8808560609361313	-2.845450703611746	-2.8100453462873576
21	-2.8747019634325373	-2.938093132342918	-2.8742457594504836	-2.8103983865580537
22	-2.87573933690587	-2.881501328802354	-2.8752699356656555	-2.8690385425289544
23	-2.7098874874744245	-2.8837464238516555	-2.7926968696902534	-2.7016473155288594
24	-2.7090192276972	-2.771411580185619	-2.7099376624697054	-2.6484637447537938
25	-2.655027628922889	-2.715270952235745	-2.681811055925894	-2.648351159616044
26	-2.6577889237427432	-2.6616017150989943	-2.6562589857535213	-2.6509162564080464
27	-2.604378766755276	-2.6609913373705902	-2.63099099246288	-2.600990647555171
28	-2.6043868630099354	-2.6088510579590354	-2.6047665156334148	-2.600681973307793
29	-2.663403585587954	-2.6663973118982405	-2.633929678763865	-2.6014620456294884
30	-2.6642498438838946	-2.6669741065075163	-2.663794002962591	-2.6606138994176667
31	-2.608817220697381	-2.6707285176955944	-2.6363568487779503	-2.601985179860308
32	-2.4953984228641213	-2.6093941242248793	-2.5521007420961785	-2.4948073599674787
33	-2.552668314962476	-2.5540077912836527	-2.523609622562063	-2.4932114538404693
34	-2.5525752624929376	-2.5556746394806953	-2.552859575364165	-2.5500445112476395
35	-2.552485150815456	-2.5553987859248823	-2.552590347666993	-2.5497819094091017
36	-2.5559480605295057	-2.6139663297463103	-2.5541456272963767	-2.49432492484644
37	-2.5006792866582574	-2.5593431868020295	-2.528220857113827	-2.4970985274256225
38	-2.6172527556310916	-2.61878610639134	-2.558700260677635	-2.4986144149639333
39	-2.6204610145369687	-2.6208485818847365	-2.619262514703975	-2.6176764475232153
40	-2.620374969139852	-2.623914520977666	-2.6200579444952883	-2.616201368012913
41	-2.6231288575204537	-2.62521547655355	-2.6215962873408114	-2.6179770981280703
42	-2.567766341364253	-2.6248879231473183	-2.5955575160836064	-2.5662271090198976
43	-2.511696510260103	-2.5694797702551666	-2.5395121371207883	-2.509544503986415
44	-2.5116048737274785	-2.513792060587585	-2.511788509853474	-2.509784959119367
45	-2.56612026024195	-2.569439361593987	-2.5387467687593537	-2.5080541759247224
46	-2.5654013273501057	-2.5670811731219003	-2.565476390159615	-2.563871607197328
47	-2.5085056782701014	-2.566465748849111	-2.53661291552304	-2.506760082196967
48	-2.453463998896308	-2.5105127143873878	-2.481241685908901	-2.4519706574304143
49	-2.397637781553621	-2.4551479472545483	-2.4256081267517806	-2.396068306249014
50	-2.3417205085755066	-2.399289671647872	-2.369331096879142	-2.3393725221104105
51	-2.3440203894915843	-2.400902496405715	-2.342860719005517	-2.28481894160532
52	-2.34602539246868	-2.3469024020099174	-2.345036451299043	-2.34317050058817
53	-2.3472777705165755	-2.3481370626933424	-2.346651127666693	-2.3451651926400454
54	-2.4039170260968223	-2.4057976807679626	-2.375591571181705	-2.3453854615954484
55	-2.403897638652913	-2.404828526409052	-2.403959068531359	-2.403089610653667
56	-2.40380106449413	-2.4604360722636307	-2.403658708375104	-2.346881344486579
57	-2.4047494517782906	-2.405389709406197	-2.4042621516432305	-2.4031345938802673
58	-2.404813749836641	-2.40490211882254	-2.404777207772421	-2.404652296722306
59	-2.461606289664405	-2.462000900390673	-2.433186783862694	-2.4043726673347163
60	-2.4041968007087107	-2.463223035478312	-2.432853112882864	-2.4024831902874144
