Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	10:56:19	10:56:19	10:56:19			10:56:19	10:56:19	10:56:20	10:56:20	10:56:20	10:56:20	10:56:20	10:56:29	10:56:29	10:56:29	10:56:29	10:56:29	10:56:29			10:56:30	10:56:30		00:00:00		00:00:01	00:00:01	00:00:00	00:00:08	00:00:00	00:00:00		00:00:01	00:00:11
1	10:56:31	10:56:31	10:56:31	10:56:31	10:56:32	10:56:32	10:56:32	10:56:32	10:56:32	10:56:32	10:56:32	10:56:32	10:56:38	10:56:38	10:56:38	10:56:38	10:56:38	10:56:38			10:56:39	10:56:39		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:08
2	10:56:39	10:56:39	10:56:39	10:56:39	10:56:40	10:56:40			10:56:40	10:56:40	10:56:40	10:56:40	10:56:46	10:56:46	10:56:46	10:56:46	10:56:46	10:56:46			10:56:46	10:56:46		00:00:00	00:00:01		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:07
3	10:56:46	10:56:46	10:56:46	10:56:46	10:56:47	10:56:47			10:56:47	10:56:47	10:56:47	10:56:47	10:56:52	10:56:52	10:56:52	10:56:52	10:56:52	10:56:52			10:56:53	10:56:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:06
4	10:56:53	10:56:53	10:56:53	10:56:53	10:56:54	10:56:54			10:56:54	10:56:54	10:56:54	10:56:54	10:56:59	10:56:59	10:56:59	10:56:59	10:56:59	10:56:59			10:57:00	10:57:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:07
5	10:57:00	10:57:00	10:57:00	10:57:00	10:57:01	10:57:01			10:57:01	10:57:01	10:57:01	10:57:01	10:57:06	10:57:06	10:57:06	10:57:06	10:57:06	10:57:06			10:57:07	10:57:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:07
6	10:57:07	10:57:07	10:57:07	10:57:07	10:57:08	10:57:08			10:57:08	10:57:08	10:57:08	10:57:08	10:57:14	10:57:14	10:57:14	10:57:14	10:57:14	10:57:14			10:57:14	10:57:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:07
7	10:57:15	10:57:15	10:57:15	10:57:15	10:57:15	10:57:15			10:57:15	10:57:15	10:57:15	10:57:15	10:57:21	10:57:21	10:57:21	10:57:21	10:57:21	10:57:21			10:57:21	10:57:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:06
8	10:57:21	10:57:21	10:57:21	10:57:21	10:57:22	10:57:22			10:57:22	10:57:22	10:57:22	10:57:22	10:57:27	10:57:27	10:57:27	10:57:27	10:57:27	10:57:27			10:57:27	10:57:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:05
9	10:57:27	10:57:27	10:57:27	10:57:27	10:57:28	10:57:28			10:57:28	10:57:28	10:57:28	10:57:28	10:57:34	10:57:34	10:57:34	10:57:34	10:57:34	10:57:34			10:57:35	10:57:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:07
10	10:57:35	10:57:35	10:57:35	10:57:35	10:57:36	10:57:36			10:57:36	10:57:36	10:57:36	10:57:36	10:57:41	10:57:41	10:57:41	10:57:41	10:57:41	10:57:41	10:57:41	10:57:41	10:57:42	10:57:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00	00:00:00	00:00:01	00:00:07
11	10:57:42	10:57:42	10:57:42	10:57:42	10:57:43	10:57:43			10:57:43	10:57:43	10:57:43	10:57:43	10:57:48	10:57:48	10:57:48	10:57:48	10:57:48	10:57:48			10:57:49	10:57:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:06
12	10:57:49	10:57:49	10:57:49	10:57:49	10:57:49	10:57:49			10:57:49	10:57:49	10:57:49	10:57:49	10:57:55	10:57:55	10:57:55	10:57:55	10:57:55	10:57:55			10:57:55	10:57:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:06
13	10:57:55	10:57:55	10:57:55	10:57:55	10:57:56	10:57:56			10:57:56	10:57:56	10:57:56	10:57:56	10:58:01	10:58:01	10:58:01	10:58:01	10:58:01	10:58:01			10:58:01	10:58:01		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:06
14	10:58:01	10:58:01	10:58:01	10:58:01	10:58:02	10:58:02			10:58:02	10:58:02	10:58:02	10:58:02	10:58:08	10:58:08	10:58:08	10:58:08	10:58:08	10:58:08			10:58:08	10:58:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:06
15	10:58:08	10:58:08	10:58:08	10:58:08	10:58:09	10:58:09			10:58:09	10:58:09	10:58:09	10:58:09	10:58:14	10:58:14	10:58:14	10:58:14	10:58:14	10:58:14			10:58:14	10:58:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:06
16	10:58:14	10:58:14	10:58:14	10:58:14	10:58:15	10:58:15			10:58:15	10:58:15	10:58:15	10:58:15	10:58:20	10:58:20	10:58:20	10:58:20	10:58:20	10:58:20			10:58:20	10:58:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:06
